Station,Occurrences,Latitude,Longitude
Pine Grove Ave & Waveland Ave,21174,41.949466944,-87.646380186
Public Rack - 111th St - Morgan Park Metra,32,41.69,-87.67
Western Ave & 104th St,255,41.70458710218908,-87.68120348453522
Public Rack - Kedzie Ave & 63rd St,17,41.78,-87.7
Public Rack - Lawndale Ave & 63rd St,27,41.78,-87.71
Halsted St & 73rd St,158,41.761643767,-87.644102097
Dorchester Ave & 63rd St,925,41.7804056457,-87.5914159893
Public Rack - Prairie Ave & 47th St ,60,41.81,-87.62
Burnham Greenway & 112th St,470,41.691755652,-87.53039968
Public Rack - Rockwell & 111th St,31,41.69,-87.69
Vincennes Ave & 104th St,141,41.7050125,-87.65704916666667
Pulaski Rd & 51st St,1124,41.8,-87.72
Clark St & Elmdale Ave,3826,41.990860448125574,-87.66972362995148
Public Rack - Chase Ave & Touhy Ave - NE,27,42.01,-87.69
Warren Park West,1236,42.001785,-87.688829
Public Rack - Pittsburgh Ave & Irving Park,3,41.95,-87.83
Public Rack - Western Ave & 111th St - SE,5,41.69,-87.68
Hampden Ct & Diversey Ave,4201,41.93,-87.64
Cottage Grove Ave & Oakwood Blvd,1137,41.822959542,-87.607043862
Greenwood Ave & 47th St,2585,41.80986321,-87.599287033
Maryland Ave & 104th St,271,41.71,-87.6
Sacramento Blvd & Franklin Blvd,436,41.89046879243862,-87.70260751247406
Calumet Ave & 71st St,92,41.765563846,-87.616961479
Campbell Ave & Irving Park Rd,647,41.95,-87.69
Halsted St & 111th St,158,41.692294955,-87.642616987
Kildare Ave & 47th St,205,41.81,-87.73
Public Rack - Rockwell Ave & Touhy Ave ,166,42.01,-87.7
Elston Ave & Henderson St,981,41.94,-87.7
Valli Produce - Evanston Plaza,749,42.039742,-87.699413
Glenwood Ave & Morse Ave,4949,42.00801456,-87.665407658
Western Ave & 24th St,945,41.84847,-87.685109
Hegewisch Metra Station,158,41.64850076266409,-87.54608988761902
Leavitt St & Archer Ave,1281,41.82879201994,-87.6806044594
Halsted St & Roosevelt Rd,9432,41.867369533,-87.648684263
Field Blvd & South Water St,12652,41.8864007,-87.617578983
Elmwood Ave & Austin St,1143,42.025784,-87.684107
